date,node,node_type,hourly_rate,hours_used,total_cost
2025-09-15,k8s-node-1,standard,0.15,24,3.7151631128497447
2025-09-16,k8s-node-1,standard,0.15,24,3.621516435058168
2025-09-17,k8s-node-1,standard,0.15,24,3.7788350597672413
2025-09-18,k8s-node-1,standard,0.15,24,3.5630010522429707
2025-09-19,k8s-node-1,standard,0.15,24,3.47475103866281
2025-09-20,k8s-node-1,standard,0.15,24,3.873194417924079
2025-09-21,k8s-node-1,standard,0.15,24,3.9143653138818664
2025-09-22,k8s-node-1,standard,0.15,24,3.7097311737311722
2025-09-23,k8s-node-1,standard,0.15,24,3.951755956778983
2025-09-24,k8s-node-1,standard,0.15,24,3.7030840464374224
2025-09-25,k8s-node-1,standard,0.15,24,3.4645748083231895
2025-09-26,k8s-node-1,standard,0.15,24,3.766702636220987
2025-09-27,k8s-node-1,standard,0.15,24,3.7940339299282497
2025-09-28,k8s-node-1,standard,0.15,24,3.9498781746276386
2025-09-29,k8s-node-1,standard,0.15,24,3.832443492429739
2025-09-30,k8s-node-1,standard,0.15,24,3.920260456080373
2025-10-01,k8s-node-1,standard,0.15,24,3.3485194605625335
2025-10-02,k8s-node-1,standard,0.15,24,3.240965909839506
2025-10-03,k8s-node-1,standard,0.15,24,3.6569998018031256
2025-10-04,k8s-node-1,standard,0.15,24,3.241725982492851
2025-10-05,k8s-node-1,standard,0.15,24,3.9417030123275816
2025-10-06,k8s-node-1,standard,0.15,24,3.2504912821286673
2025-10-07,k8s-node-1,standard,0.15,24,3.8003217906861564
2025-10-08,k8s-node-1,standard,0.15,24,3.927819644371873
2025-10-09,k8s-node-1,standard,0.15,24,3.8868539593620963
2025-10-10,k8s-node-1,standard,0.15,24,3.7581086248609465
2025-10-11,k8s-node-1,standard,0.15,24,3.582115733588108
2025-10-12,k8s-node-1,standard,0.15,24,3.58199085012644
2025-10-13,k8s-node-1,standard,0.15,24,3.6848024656453044
2025-10-14,k8s-node-1,standard,0.15,24,3.51450113522179
2025-09-15,k8s-node-2,standard,0.15,24,3.7504519595107277
2025-09-16,k8s-node-2,standard,0.15,24,3.3765103383136865
2025-09-17,k8s-node-2,standard,0.15,24,3.9037270299609372
2025-09-18,k8s-node-2,standard,0.15,24,3.8187645523092417
2025-09-19,k8s-node-2,standard,0.15,24,3.658688859458806
2025-09-20,k8s-node-2,standard,0.15,24,3.320543749708514
2025-09-21,k8s-node-2,standard,0.15,24,3.6610626905893096
2025-09-22,k8s-node-2,standard,0.15,24,3.577779488163787
2025-09-23,k8s-node-2,standard,0.15,24,3.575001641773748
2025-09-24,k8s-node-2,standard,0.15,24,3.82762271561459
2025-09-25,k8s-node-2,standard,0.15,24,3.9334734787082373
2025-09-26,k8s-node-2,standard,0.15,24,3.8753586361682864
2025-09-27,k8s-node-2,standard,0.15,24,3.755722818184117
2025-09-28,k8s-node-2,standard,0.15,24,3.8601447661118167
2025-09-29,k8s-node-2,standard,0.15,24,3.626577800150996
2025-09-30,k8s-node-2,standard,0.15,24,3.7673007953612325
2025-10-01,k8s-node-2,standard,0.15,24,3.7535272887989746
2025-10-02,k8s-node-2,standard,0.15,24,3.8455950330414925
2025-10-03,k8s-node-2,standard,0.15,24,3.636497027534759
2025-10-04,k8s-node-2,standard,0.15,24,3.506518484483043
2025-10-05,k8s-node-2,standard,0.15,24,3.456573433371814
2025-10-06,k8s-node-2,standard,0.15,24,3.8333983426455704
2025-10-07,k8s-node-2,standard,0.15,24,3.5991105102220966
2025-10-08,k8s-node-2,standard,0.15,24,3.5616569876608013
2025-10-09,k8s-node-2,standard,0.15,24,3.9407423578109664
2025-10-10,k8s-node-2,standard,0.15,24,3.283131027633779
2025-10-11,k8s-node-2,standard,0.15,24,3.246885856945671
2025-10-12,k8s-node-2,standard,0.15,24,3.713689692067162
2025-10-13,k8s-node-2,standard,0.15,24,3.9564695381533967
2025-10-14,k8s-node-2,standard,0.15,24,3.345916093246561
2025-09-15,k8s-node-3,memory-optimized,0.25,24,5.467217868112299
2025-09-16,k8s-node-3,memory-optimized,0.25,24,5.511653565101468
2025-09-17,k8s-node-3,memory-optimized,0.25,24,5.43036865287516
2025-09-18,k8s-node-3,memory-optimized,0.25,24,6.01414765744371
2025-09-19,k8s-node-3,memory-optimized,0.25,24,6.523663342421994
2025-09-20,k8s-node-3,memory-optimized,0.25,24,6.453098821769047
2025-09-21,k8s-node-3,memory-optimized,0.25,24,5.457952256148569
2025-09-22,k8s-node-3,memory-optimized,0.25,24,5.712793539638913
2025-09-23,k8s-node-3,memory-optimized,0.25,24,5.762831504501348
2025-09-24,k8s-node-3,memory-optimized,0.25,24,5.477537312474941
2025-09-25,k8s-node-3,memory-optimized,0.25,24,5.516682517332622
2025-09-26,k8s-node-3,memory-optimized,0.25,24,5.749552058430398
2025-09-27,k8s-node-3,memory-optimized,0.25,24,5.832472880269975
2025-09-28,k8s-node-3,memory-optimized,0.25,24,5.871763829716392
2025-09-29,k8s-node-3,memory-optimized,0.25,24,6.364141920091777
2025-09-30,k8s-node-3,memory-optimized,0.25,24,5.571164686207815
2025-10-01,k8s-node-3,memory-optimized,0.25,24,5.418977296635217
2025-10-02,k8s-node-3,memory-optimized,0.25,24,6.293005418698867
2025-10-03,k8s-node-3,memory-optimized,0.25,24,5.691063878802719
2025-10-04,k8s-node-3,memory-optimized,0.25,24,5.933377076236021
2025-10-05,k8s-node-3,memory-optimized,0.25,24,6.246814735796622
2025-10-06,k8s-node-3,memory-optimized,0.25,24,5.587347451312665
2025-10-07,k8s-node-3,memory-optimized,0.25,24,5.509628797516527
2025-10-08,k8s-node-3,memory-optimized,0.25,24,5.432953618723648
2025-10-09,k8s-node-3,memory-optimized,0.25,24,5.5619040909220905
2025-10-10,k8s-node-3,memory-optimized,0.25,24,5.4917695344260835
2025-10-11,k8s-node-3,memory-optimized,0.25,24,6.321344503781836
2025-10-12,k8s-node-3,memory-optimized,0.25,24,6.4467585875845606
2025-10-13,k8s-node-3,memory-optimized,0.25,24,5.9328404196706535
2025-10-14,k8s-node-3,memory-optimized,0.25,24,5.527994001910019
2025-09-15,k8s-gpu-node-1,gpu,1.2,24,31.113390594140856
2025-09-16,k8s-gpu-node-1,gpu,1.2,24,30.773581258050495
2025-09-17,k8s-gpu-node-1,gpu,1.2,24,30.07047942069459
2025-09-18,k8s-gpu-node-1,gpu,1.2,24,31.171789388571362
2025-09-19,k8s-gpu-node-1,gpu,1.2,24,31.016733900573886
2025-09-20,k8s-gpu-node-1,gpu,1.2,24,30.19037294398169
2025-09-21,k8s-gpu-node-1,gpu,1.2,24,25.96002820697399
2025-09-22,k8s-gpu-node-1,gpu,1.2,24,29.036357133078567
2025-09-23,k8s-gpu-node-1,gpu,1.2,24,26.82798587381679
2025-09-24,k8s-gpu-node-1,gpu,1.2,24,27.850708641625058
2025-09-25,k8s-gpu-node-1,gpu,1.2,24,30.0984556169426
2025-09-26,k8s-gpu-node-1,gpu,1.2,24,26.72475524901899
2025-09-27,k8s-gpu-node-1,gpu,1.2,24,31.070230106587275
2025-09-28,k8s-gpu-node-1,gpu,1.2,24,27.249949949664963
2025-09-29,k8s-gpu-node-1,gpu,1.2,24,28.756173933362287
2025-09-30,k8s-gpu-node-1,gpu,1.2,24,30.767301911451884
2025-10-01,k8s-gpu-node-1,gpu,1.2,24,31.00021169633195
2025-10-02,k8s-gpu-node-1,gpu,1.2,24,30.27087029702306
2025-10-03,k8s-gpu-node-1,gpu,1.2,24,29.297436122362104
2025-10-04,k8s-gpu-node-1,gpu,1.2,24,30.35225560525153
2025-10-05,k8s-gpu-node-1,gpu,1.2,24,28.630192711685332
